Task,Title,Source,Date,Link,Technology,Chenhao Vote,Brian Vote,Avg
Personalized driving experience: adjust seat/mirrors/driving modes based on recognizing driver,Your Car May Soon Be Able to Read Your Face,New York Times,17-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1884712421?accountid=14503,,1,1,1
Detect when a driver is distracted and warn them of obstacles,Your Car May Soon Be Able to Read Your Face,New York Times,17-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1884712421?accountid=14504,,1,3,2
Unlock a car using facial recognition,Your Car May Soon Be Able to Read Your Face,New York Times,17-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1884712421?accountid=14505,,1,2,1.5
"Change a car's music, sounds/chimes, or lighting based on the driver's mood",Your Car May Soon Be Able to Read Your Face,New York Times,17-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/1884712421?accountid=14506,,3,1,2
Fashion design: designing new clothing items,A.I. Comes Into Fashion,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2065697394?accountid=14503,,3,3,3
Decide which clothing to stock for customers at a retail store (merchandise planning),A.I. Comes Into Fashion,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2065697394?accountid=14504,,1,3,2
Stylist recommending clothes for a customer to try on/buy,A.I. Comes Into Fashion,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2065697394?accountid=14505,,3,2,2.5
Serving you your food at a restaurant,"Wild About Tech, China Even Loves Robot Waiters That Can’t Serve",New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2073068578?accountid=14503,,3,3,3
Curating/filtering the content that you see on social media,"Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,18-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14503,,2,3,2.5
Recommending songs for you to listen to,"Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,17-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14503,,3,3,3
"Answer factual questions about the world, e.g., time/weather/news headlines","Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,16-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14503,,3,1,2
Recommending improvements to make your lifestyle more healthy,"Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,15-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14504,,3,2,2.5
"Turn on/off lighting, air conditioning, and other equipment when needed","Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,14-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14505,,2,2,2
Determine optimal prices of goods or services,"Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",Wall Street Journal,13-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2032327288?accountid=14506,,2,3,2.5
Moving & packing merchandise in a warehouse for shipping to customers,"Artificial Intelligence (A Special Report) --- What Exactly Is Artificial Intelligence, Anyway? Everybody's talking about AI these days. Here's what all the fuss is about.",New York Times,17-Sep,https://www.nytimes.com/2017/09/10/technology/amazon-robots-workers.html,,3,2,2.5
